n_estimators,train_balanced_accuracy,validation_balanced_accuracy,oob_score,oob_error
5,0.9997549019607842,0.995561395566896,0.9276929601357082,0.07230703986429177
10,0.9997549019607842,0.9955882161839044,0.9860050890585241,0.013994910941475869
20,1.0,0.9977973568281938,0.9944868532654793,0.005513146734520746
40,1.0,0.9977941080919522,0.9953350296861747,0.00466497031382529
60,1.0,0.9977973568281938,0.9959711620016963,0.004028837998303669
80,1.0,0.998531571218796,0.9963952502120441,0.0036047497879558854
100,1.0,0.998531571218796,0.9963952502120441,0.0036047497879558854
150,1.0,0.9970631424375918,0.996607294317218,0.003392705682782049
200,1.0,0.9970631424375918,0.996607294317218,0.003392705682782049
250,1.0,0.9970631424375918,0.996607294317218,0.003392705682782049
300,1.0,0.9970631424375918,0.996607294317218,0.003392705682782049
